icao_code,country_code,iata_code,lng,name,lat
PHNL,US,HNL,-157.92,Daniel K. Inouye International Airport,21.32
KDEN,US,DEN,-104.67,Denver International Airport,39.86
KVPS,US,VPS,-86.53,Destin-Fort Walton Beach Airport,30.48
RPLC,PH,CRK,120.56,Clark International Airport,15.19
OMDB,AE,DXB,55.36,Dubai International Airport,25.25
KCLL,US,CLL,-96.36,Easterwood Field,30.59
PHKO,US,KOA,-156.04,Kona International Airport,19.74
EDDE,DE,ERF,10.96,Erfurt Airport,50.98
EGTE,GB,EXT,-3.41,Exeter International Airport,50.73
EDNY,DE,FDH,9.51,Friedrichshafen Airport,47.67
GCFV,ES,FUE,-13.87,Fuerteventura Airport,28.45
CYQX,CA,YQX,-54.57,Gander International Airport,48.94
EPGD,PL,GDN,18.47,Gdansk Lech Walesa Airport,54.38
